第一次,第二次
"近义词汉语:情况,情形,情状,情事,状,情,景,事态,状况,状态,景况,情景,场面,动静,气象,景象,图景俄语近义词汉语:情面,人情,脸面,面子,脸皮,情,份,老脸,老面皮,老面子俄语近义词汉语:感情,情愫,情,情感,情义,幽情,真情实意,结,底情,情丝俄语近义词汉语:爱情,情爱,情意,柔情,痴情,爱恋,情网,情,爱意,旧情,含情脉脉德语近义词汉语:情欲,人事,性欲,肉欲,春,情德语近义词汉语:内容,情节,情,本末,始末西班牙语","近义词汉语:情况,情形,情状,情事,状,情,景,事态,状况,状态,景况,情景,场面,动静,气象,景象,图景俄语:перемены,изменения法语:situation,circonstance,condition德语:Informationen,Bescherung,Fälle,Umstände,Info,Information,Kondition,Stand,Umstand葡萄牙语:circunstancial,circunstância,caso英语:circumstances,condition,case,complexion,instance,situation,thing西班牙语:caso,circunstancia,condición3情面近义词汉语:情面,人情,脸面,面子,脸皮,情,份,老脸,老面皮,老面子俄语:личныеотношения,кумовство法语:considérationspersonnelles,égards,sensibilité,face4感情近义词汉语:感情,情愫,情,情感,情义,幽情,真情实意,结,底情,情丝俄语:чувство,эмоция西班牙语:sentimiento,sentir法语:sentiment,affection德语:Gefühl,Gefühle,Emotion,Ergriffenheit,Rührung,Sentiment葡萄牙语:emotivo,emocional,emoção,afetivo,afeição英语:affection,feeling,heart,love,reins,sensation,sentiment,susceptibility反义词汉语:狂热,情感,理智5爱情近义词汉语:爱情,情爱,情意,柔情,痴情,爱恋,情网,情,爱意,旧情,含情脉脉德语:Liebe,lieben,herzlicheGrüße法语:amour,affection6情欲近义词汉语:情欲,人事,性欲,肉欲,春,情德语:genusssüchtig,lustbetont,Passion英语:fleshandblood,lust,sexualpassion7内容近义词汉语:内容,情节,情,本末,始末西班牙语:materia,meollo,objeto,tela,tenor英语:content,gut,substance,viscera反义词汉语:形式查看关于情的反义词>>("
"近义词汉语:礼品,礼物,礼,赠品,赠礼,人情,人事,仪,赐,贶,礼盒,礼金,红包,赠物英语","近义词汉语:礼品,礼物,礼,赠品,赠礼,人情,人事,仪,赐,贶,礼盒,礼金,红包,赠物英语:gift,present法语:cadeau,présent西班牙语:agasajo,dádiva,don("
"近义词汉语:件,码,起,宗,桩,项,档子,档儿法语近义词汉语:袭,领,件俄语","近义词汉语:件,码,起,宗,桩,项,档子,档儿法语:pièce,lettre,document英语:aunit,letter2袭近义词汉语:袭,领,件俄语:внезапныйудар,,атака,атаковать英语:followthepatternof,raid德语:beerben,erben,Raubzug法语:attaquerparsurprise,assaillir("
"近义词汉语:共同,协同,一同,一道,一起,一齐,一块儿,一路,一头,一并,联合,合伙,伙同,伙,并,合,齐,共,同,旅,偕,合办,齐声,同步,同船,协,一块,联袂,联手,手拉手,联名,同台,联机,协办,同机俄语近义词汉语:合并,归并,归拢,归总,统一,集合,汇合,联合,联结,联,合,合而为一汉语:合并,合,并,拼,融为一体,拼制,并线,集成,合二为一,一统,合二而一,融会,并轨,购并,三合一,并入,合龙,合拢,合一英语","近义词汉语:共同,协同,一同,一道,一起,一齐,一块儿,一路,一头,一并,联合,合伙,伙同,伙,并,合,齐,共,同,旅,偕,合办,齐声,同步,同船,协,一块,联袂,联手,手拉手,联名,同台,联机,协办,同机俄语:совместный,общий,совместно,сообща德语:gemeinsam,zusammen,vereint英语:common,jointly,together反义词汉语:独自,独特,单独,特有3合并近义词汉语:合并,归并,归拢,归总,统一,集合,汇合,联合,联结,联,合,合而为一汉语:合并,合,并,拼,融为一体,拼制,并线,集成,合二为一,一统,合二而一,融会,并轨,购并,三合一,并入,合龙,合拢,合一英语:unite,ombination,incorporate,amalgamate,annexation,coalition,consolidation,meld葡萄牙语:fusão,fundir,incorporação,incorporar,combinação,combinar西班牙语:fusión,integración,reunión德语:aufheben,tilgen,Anhang,Eingliederung,Festigung,Zusammenfügung,anhängen,eingliedern,kombinieren,abgegrenzt反义词汉语:分开,分头,分裂,分散,划分,隔开查看关于联合的反义词>>("
"近义词汉语:螺钉,螺丝,螺丝钉","近义词汉语:螺钉,螺丝,螺丝钉("
"近义词汉语:五谷,庄稼,谷物,粮食作物俄语","近义词汉语:五谷,庄稼,谷物,粮食作物俄语:зерновыекультуры,хлеба,зерно法语:lescinqcéréales("
"近义词汉语:合同,合约葡萄牙语","近义词汉语:合同,合约葡萄牙语:contratual,contrato西班牙语:contrata,contrato("
"近义词汉语:后门,方便之门法语","近义词汉语:后门,方便之门法语:portedederrière,piston德语:Hintertür,Seite,Seitentür英语:backdoor,backdoor,postern反义词汉语:前门查看关于后门的反义词>>("
"近义词汉语:密封,封德语","近义词汉语:密封,封德语:Dichtung,dichten,siegeln,luftdicht英语:airproof,pressure,pressurize,sealairtight,sealup("
"近义词汉语:封条,封皮西班牙语","近义词汉语:封条,封皮西班牙语:precinto,sello英语:apaperstripforsealing,seal("
"近义词汉语:手,两手,双手俄语近义词汉语:者,手,匠,客,主,子,家,夫,翁,汉,员,分子,鬼,货,棍,徒俄语","近义词汉语:手,两手,双手俄语:рука,руки,ручной葡萄牙语:manual,mão德语:Handschrift,bequem,Hand,Hand,inderHandhalten,persönlich英语:abunchoffives,apersondoingacertainjob,fist,hand,handy,hold,manus,mauley,pud2者近义词汉语:者,手,匠,客,主,子,家,夫,翁,汉,员,分子,鬼,货,棍,徒俄语:тот,кто,тот,который,то,что英语:person,this德语:Nominalsuffix,Person;Ding("
"近义词汉语:剥,扒,揭,剥离,剖开,扒开俄语","近义词汉语:剥,扒,揭,剥离,剖开,扒开俄语:обдирать,сдирать,снимать法语:peler,éplucher,décortiquer英语:pare,peel,shell,skive西班牙语:monda,mondar德语:abbalgen,Fellabziehen,Schale,schälen("
"近义词汉语:木棒,木棍","近义词汉语:木棒,木棍("
"近义词汉语:电木,酚醛,塑料,酚醛塑料,塑","近义词汉语:电木,酚醛,塑料,酚醛塑料,塑("
"近义词汉语:固定,恒定,永恒,铁定,一定,稳定,稳,恒,一贯,原则性,固化,定点,定位,锚固,定势,稳住俄语","近义词汉语:固定,恒定,永恒,铁定,一定,稳定,稳,恒,一贯,原则性,固化,定点,定位,锚固,定势,稳住俄语:постоянный,основной葡萄牙语:imobilizar,imobilização,fixação,fixo,fixativo,fixar法语:fixe,régulier英语:fix,moor,peg,rivet,root,secure,tackle德语:Befestigung,Festlegung,Fixierung,Halterung,anordnen,feststellen,fixen,fixieren,lahmlegen,prägen,andauernd,beständig,festgesetzt,fixierendes,gelähmt,gleichförmig,permanent,stationär,unbeweglich,unveränderlich西班牙语:afirmación,afirmar,asegurar,fijación,trabar("
"近义词汉语:前,前面,前边,前头,前方,头里,先头,眼前,面前俄语近义词汉语:事先,之前,前,事先,前面,前头,先头,头里,事前,有言在先德语近义词汉语:将来,未来,明日,明天,明朝,前,来日,他日,明晚,明晨德语","近义词汉语:前,前面,前边,前头,前方,头里,先头,眼前,面前俄语:перед,впереди,передний英语:former,forward,front,preceding,priority法语:devant,avant2事先近义词汉语:事先,之前,前,事先,前面,前头,先头,头里,事前,有言在先德语:imvoraus,vorab,voran,ehe英语:beforehand,inadvance,prior西班牙语:adelantadamente,antemano(近义词汉语:将来,未来,明日,明天,明朝,前,来日,他日,明晚,明晨德语:Zukunft,inZukunft,später,("
"近义词汉语:控制,统制,宰制,主宰,支配,操纵,摆布,掌握,左右,牵线,驾御,控,控管俄语近义词汉语:支配,决定,主宰,驾御,控制,宰制,操纵,操,说了算俄语近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语","近义词汉语:控制,统制,宰制,主宰,支配,操纵,摆布,掌握,左右,牵线,驾御,控,控管俄语:контролировать,держатьподконтролем,контрольный葡萄牙语:domínio,controle,dono,anfitrião英语:control,dominate,desist,grasp,hold,manage,master,predominate,rein,rule德语:Beherrschung,Kontrolle,beherrschen,etw.inderGewalthaben,kontrollieren西班牙语:apoderar,control,controlar,dominación,férula,imperar,mando,refrenar,rienda,señorear,señorío,sujeción反义词汉语:摆脱2支配近义词汉语:支配,决定,主宰,驾御,控制,宰制,操纵,操,说了算俄语:распределять,планировать德语:zuteilen,zuweisen,Dominanz,Governance,Griffigkeit,Verfügung,verfügen,bestimmend西班牙语:gobernar,gobierno,mangonear,mangoneo,regimiento,regir,señorear法语:disposerdecontrôler,dominer英语:control,dominate,administrate,allocate,arrange,command,govern,rule3克制近义词汉语:克制,抑制,控制,自制,自持,抑止,压抑,按压,按捺,按,捺,压,平,憋,止,克,克服,相生相克,相依相克俄语:сдержать,побороть,сдержанность,сдержанный葡萄牙语:refreamento,refrear,abstenção,abster法语:dominer,retenir,maîtriser英语:control,forbear,exerciserestraint,restrain西班牙语:cohibición,combatir,conformidad,continencia,reportar,reprimir,retener德语:beherrscht,Beschränkung,Hemmnis,Einhalt,Enthaltung,Hemmung,Zurückhaltung,beherrschen,unterdrücken,zähmen,zügeln,zurückhalten,abstinent,mäßig反义词汉语:放纵查看关于控制的反义词>>("
"近义词汉语:臂,胳膊,胳臂,臂膀,臂膊,膀子,膀臂,膀,肱,膊,前肢,手臂,双臂,上肢俄语","近义词汉语:臂,胳膊,胳臂,臂膀,臂膊,膀子,膀臂,膀,肱,膊,前肢,手臂,双臂,上肢俄语:рука,предплечье德语:Arm,Armband,Armbinde2上臂近义词汉语:上臂,膀子,膀臂,臂,前臂("
"近义词汉语:太子,皇太子,东宫,储君,皇储,殿下,春宫,王储德语","近义词汉语:太子,皇太子,东宫,储君,皇储,殿下,春宫,王储德语:Fürst,Prinz,Thronfolger("
"近义词汉语:人参,参,西洋参,高丽参,丹参,党参,红参,苦参,沙参,太子参,土党参,玄参,长白参,洋参英语","近义词汉语:人参,参,西洋参,高丽参,丹参,党参,红参,苦参,沙参,太子参,土党参,玄参,长白参,洋参英语:ginseng,Panax("
"近义词汉语:外胎,外带英语","近义词汉语:外胎,外带英语:covertyre,shoe("
"近义词汉语:阀,阀门,凡尔,活门,截门俄语","近义词汉语:阀,阀门,凡尔,活门,截门俄语:клика,каста英语:clique,valve德语:Clique,Gruppe,Ventil("
"近义词汉语:邮寄,付邮,邮,寄,投,邮递,邮发法语","近义词汉语:邮寄,付邮,邮,寄,投,邮递,邮发法语:poster,envoyerparlaposte英语:mail,post("
"近义词汉语:箔,膜,衣,箔条德语","近义词汉语:箔,膜,衣,箔条德语:Blatt,Folie,Metallfolie2蚕箔近义词汉语:蚕箔,箔("
"近义词汉语:维生素,维他命汉语:维生素,烟酸葡萄牙语","近义词汉语:维生素,维他命汉语:维生素,烟酸葡萄牙语:vitamínico,vitamina("
"近义词汉语:浆洗,浆,换洗,涮洗,洗煤,洗手,洗衣,漂洗,雪洗,淘洗","近义词汉语:浆洗,浆,换洗,涮洗,洗煤,洗手,洗衣,漂洗,雪洗,淘洗("
"近义词汉语:搅拌,拌和,搅和,搅动,打,搅,拌,馇,洗法语","近义词汉语:搅拌,拌和,搅和,搅动,打,搅,拌,馇,洗法语:remuer,brasser德语:anregen,bewegen,beunruhigen,aufregen,durchwühlen,rühren英语:agitate,beatup,churn,mix,stir,whip,whisk("
"近义词汉语:开水,滚水,白开水,白水,热水,汤,沸水,凉白开","近义词汉语:开水,滚水,白开水,白水,热水,汤,沸水,凉白开反义词汉语:冷水,生水查看关于热水的反义词>>("
"近义词汉语:空调机,空调","近义词汉语:空调机,空调("
"近义词汉语:回,章,节,段,章节,条块,区块,回目俄语近义词汉语:截,段,段落,段子俄语","近义词汉语:回,章,节,段,章节,条块,区块,回目俄语:возвращаться,обратный法语:revenir,retourner,tourner,répondre西班牙语:mano,vez,vuelta德语:jedesmal,zurückgehen,zurückkehren英语:answer,circle,return,turnround3截近义词汉语:截,段,段落,段子俄语:разрезать,отрезать,разрубить英语:cut,section,sever,stop法语:couper,trancher,intercepter4工段近义词汉语:工段,段("
"近义词汉语:内燃机,摩托,热机","近义词汉语:内燃机,摩托,热机("
"近义词汉语:石膏,生石膏,熟石膏葡萄牙语","近义词汉语:石膏,生石膏,熟石膏葡萄牙语:gipsita,gípseo英语:gesso,gypsum,parget,plaster("
"近义词汉语:岳父,岳丈,丈人,泰山,岳,老丈人,娘家人西班牙语近义词汉语:元老,长者,泰山,泰斗,泰山北斗,鲁殿灵光英语","近义词汉语:岳父,岳丈,丈人,泰山,岳,老丈人,娘家人西班牙语:señor,suegro3元老近义词汉语:元老,长者,泰山,泰斗,泰山北斗,鲁殿灵光英语:patriarch,seniorstatesman反义词汉语:新秀查看关于泰山的反义词>>("
"近义词汉语:模具,胎具德语","近义词汉语:模具,胎具德语:Spritzgiessform,Former法语:matrice,moule英语:die,matrix,mould,pattern("
"近义词汉语:机件,器件,零件,组件,零部件西班牙语","近义词汉语:机件,器件,零件,组件,零部件西班牙语:máquina,maquinaria("
"近义词汉语:饮料,饮,饮品英语","近义词汉语:饮料,饮,饮品英语:drink,beverage,lotion,potable,quencher("
"近义词汉语:园圃,园,园子,园田,圃,田园,庭园","近义词汉语:园圃,园,园子,园田,圃,田园,庭园查看关于田园的反义词>>("
"近义词汉语:番茄,西红柿西班牙语","近义词汉语:番茄,西红柿西班牙语:tomate,tomatera("
"近义词汉语:石油,原油俄语","近义词汉语:石油,原油俄语:нефть,нефтяной英语:oil,petroleum西班牙语:gas,kerosene,petróleo("
"近义词汉语:儿童,孩童,稚童,童稚,童子,孩子,孩儿,孩子家,小儿,小人儿,雏儿,幼儿,娃儿,娃娃,娃子,小子,小小子,竖子,孺子,稚子,童蒙,幼,童,孩,小,孺,囡,小朋友,小不点儿,少年儿童,童男童女,报童,少儿,小孩,小孩子,幼童,小娃,文童,伢儿,女孩儿,毛孩子,小家伙英语","近义词汉语:儿童,孩童,稚童,童稚,童子,孩子,孩儿,孩子家,小儿,小人儿,雏儿,幼儿,娃儿,娃娃,娃子,小子,小小子,竖子,孺子,稚子,童蒙,幼,童,孩,小,孺,囡,小朋友,小不点儿,少年儿童,童男童女,报童,少儿,小孩,小孩子,幼童,小娃,文童,伢儿,女孩儿,毛孩子,小家伙英语:children,infant西班牙语:bambino,niño反义词汉语:成人查看关于幼儿的反义词>>("
"近义词汉语:婴儿,婴孩,婴,新生儿,产儿,赤子,乳儿,毛毛,小儿,早产儿,婴幼儿德语","近义词汉语:婴儿,婴孩,婴,新生儿,产儿,赤子,乳儿,毛毛,小儿,早产儿,婴幼儿德语:Säugling,Säugling,Säuglingssterblichkeit葡萄牙语:infantil,bebê法语:bébé,nonbeau-né西班牙语:bebé,cría,criatura,guagua,nene,pebete,rorro,viable英语:baby,infant,newborn,nursling("
"近义词汉语:大豆,毛豆,黄豆英语","近义词汉语:大豆,毛豆,黄豆英语:soja,soy,soybean("
"近义词汉语:下,记,把,一下汉语:下,生,产,产卵,下蛋汉语:下,投,投放,撂下,施放,排放,置之脑后汉语:下,下面,下边,下头,底下,底,脚,下部俄语近义词汉语:时候,时节,时分,时刻,天时,天道,早晚,当儿,时光,辰光,时,际,上,下,时段俄语近义词汉语:以后,之后,后,往后,而后,尔后,日后,今后,此后,从此以后,嗣后,随后,过后,后来,后头,下,事后,其后,然后,从此,自此葡萄牙语","近义词汉语:下,记,把,一下汉语:下,生,产,产卵,下蛋汉语:下,投,投放,撂下,施放,排放,置之脑后汉语:下,下面,下边,下头,底下,底,脚,下部俄语:нижний,низ法语:enbas,sous英语:below,descend,down,givebirthto,givein,goto,leaveoff,lower,next,take西班牙语:bajada,bajar,humillar,jugar,meter,poner德语:anwenden,einsetzen,Energieaufwenden,aussteigen,absteigen,abtreten,hinunter,hinab,fahren),nächste,er,es,untere,er,es,sicheineMeinungodereinUrteilbilden,spielen,unter2时候近义词汉语:时候,时节,时分,时刻,天时,天道,早晚,当儿,时光,辰光,时,际,上,下,时段俄语:время,пора德语:Zeitdauer,Wann,Zeit,Moment法语:temps,moment英语:moment,time西班牙语:hora,vez葡萄牙语:enquanto,quando3以后近义词汉语:以后,之后,后,往后,而后,尔后,日后,今后,此后,从此以后,嗣后,随后,过后,后来,后头,下,事后,其后,然后,从此,自此葡萄牙语:maistarde,depois德语:danach,später,inZukunft法语:après,plustard英语:after,afterwards,anon反义词汉语:当前,以前查看关于下的反义词>>("
"近义词汉语:氨水,氢氧化铵英语","近义词汉语:氨水,氢氧化铵英语:ammonia,ammoniawater("
"近义词汉语:生活,过活,过日子,吃饭,起居,饮食起居,衣食住行,安身立命,安家立业,度日,食宿汉语:生活,日子,光阴,光景,小日子俄语近义词汉语:活,生,生活,生存,在世,健在,存,在,活着俄语近义词汉语:活计,活路,活,生活,劳动,体力劳动,活儿法语","近义词汉语:生活,过活,过日子,吃饭,起居,饮食起居,衣食住行,安身立命,安家立业,度日,食宿汉语:生活,日子,光阴,光景,小日子俄语:жизнь,бытие,сущестовование法语:vie,existence葡萄牙语:meiodevida,passarbemoumal英语:getalong,geton,life,livelihood,living,move,subsistence西班牙语:existencia,existir,mantener,vida,vivir2活近义词汉语:活,生,生活,生存,在世,健在,存,在,活着俄语:жить,бытьвживых,живой法语:vivre,sauverlavieà德语:Leben,leben,beweglich,schnell英语:alive,exactly,live,product,vivid,work3活计近义词汉语:活计,活路,活,生活,劳动,体力劳动,活儿法语:travailmanuel,travail,gagne-pain,emploi,ouvraged'artartisanal英语:handicraftwork,handiwork西班牙语:faena,tajo("
"近义词汉语:冬装,冬衣,寒衣,棉衣","近义词汉语:冬装,冬衣,寒衣,棉衣("
"近义词汉语:灰,灰溜溜,灰不溜秋,灰色俄语","近义词汉语:灰,灰溜溜,灰不溜秋,灰色俄语:зола,пепел,нагар葡萄牙语:cinzento,cinza法语:cendre,poussière,chaux英语:ash,discouraged,dust,grey("
"近义词汉语:飞轮,飞法语","近义词汉语:飞轮,飞法语:volantd'unemachineàvapeur,rouelibre("
"近义词汉语:甲壳,甲,壳,介,厣,盖,盖子,壳子,硬壳英语近义词汉语:外壳,壳,壳子西班牙语","近义词汉语:甲壳,甲,壳,介,厣,盖,盖子,壳子,硬壳英语:carapace,test西班牙语:caparazón,coraza3外壳近义词汉语:外壳,壳,壳子西班牙语:envoltura,sobrecubierta英语:case,crust,husk,shell葡萄牙语:casca,cascudo德语:Beschichtung,Haut,Hülle,Schutzschild("
"近义词汉语:冷,寒冷,冰冷,冰凉,冻,寒,冷冰冰,阴冷,僵冷俄语近义词汉语:暗中,暗暗,暗自,暗,冷,偷,私下里,私自,幕后,背后,背地里,暗地里,骨子里,悄悄,偷偷,鬼祟,鬼鬼祟祟,鬼头鬼脑,贼头贼脑,探头探脑,偷偷摸摸,不声不响,一声不响,秘而不宣,不露声色,不动声色,默默,潜,私下,体己,不可告人,悄悄的德语近义词汉语:冷淡,冷漠,冰冷,淡漠,淡然,淡淡,淡,冷,冷冰冰,冷言冷语,阴阳怪气,似理非理,漠不关心,冷眉冷眼,生冷,冷酷,漠然,漠然视之,见外,冷艳,冷峻俄语近义词汉语:冷却,冷,凉,激,镇,制冷,降温,气冷俄语近义词汉语:冷门,冷,滞,背时,吃不开,无人问津,爆冷门英语","近义词汉语:冷,寒冷,冰冷,冰凉,冻,寒,冷冰冰,阴冷,僵冷俄语:холодный,холодно,холод法语:froid,glacial,désert,silencieux西班牙语:frialdad,frío英语:cold,coldinmanner,shotfromhiding2暗中近义词汉语:暗中,暗暗,暗自,暗,冷,偷,私下里,私自,幕后,背后,背地里,暗地里,骨子里,悄悄,偷偷,鬼祟,鬼鬼祟祟,鬼头鬼脑,贼头贼脑,探头探脑,偷偷摸摸,不声不响,一声不响,秘而不宣,不露声色,不动声色,默默,潜,私下,体己,不可告人,悄悄的德语:insgeheim,heimlich,hinterhältig,verstohlen法语:dansl'obscurité,danslesténèbres英语:bystealth,insecret,inthedark,privily3冷淡近义词汉语:冷淡,冷漠,冰冷,淡漠,淡然,淡淡,淡,冷,冷冰冰,冷言冷语,阴阳怪气,似理非理,漠不关心,冷眉冷眼,生冷,冷酷,漠然,漠然视之,见外,冷艳,冷峻俄语:холодный,равнодушный葡萄牙语:reservado,indiferente,indiferença法语:froid,indifférent德语:Erkältung,kalt,kaltschnäuzig,nonchalant,teilnahmslos,ungastlich,unnahbar,unverbindlich,unwirtlich西班牙语:desafecto,despego,desvío,frialdad,frigidez,hielo英语:coldness,chillness,coldshoulder,frigidity,nonchalance,unconcern反义词汉语:殷勤,亲热,热情,热心,亲切,关切4冷却近义词汉语:冷却,冷,凉,激,镇,制冷,降温,气冷俄语:охлаждать,охлаждение葡萄牙语:refrigeratório,refrigerativo,refrigeração,refrigerar西班牙语:enfriamiento,enfriar,pasmar,refrigeración,refrigerar,resfriar英语:cool,cooling,refrigeration反义词汉语:加热,沸腾5冷门近义词汉语:冷门,冷,滞,背时,吃不开,无人问津,爆冷门英语:anunexpectedwinner,darkhorse,sth.recieveslittleattention反义词汉语:热门查看关于冷的反义词>>("
"近义词汉语:钢,钢铁,钢材俄语近义词汉语:磨,钢,鐾,砺,砣,研,擂,错,打磨,研磨,磨擦,磨刀,碾碎俄语","近义词汉语:钢,钢铁,钢材俄语:сталь,стальной2磨近义词汉语:磨,钢,鐾,砺,砣,研,擂,错,打磨,研磨,磨擦,磨刀,碾碎俄语:тереть,шлифовать,полировать,точить法语:frotter,aiguiser,tourmenter,moulin德语:aufhalten,aufschieben,dengeln,Mühlstein,Mühsal,Not,feilen,reiben,feil,Schleifstein西班牙语:amolar,moler,molienda,molino英语:abrade,burnish,grind,mill,milling,strop,whet("
"近义词汉语:天鹅,鹄,鸿鹄,大天鹅","近义词汉语:天鹅,鹄,鸿鹄,大天鹅("
"近义词汉语:底片,底版,底板法语","近义词汉语:底片,底版,底板法语:négatif,cliché英语:negative,photographicplate("
"近义词汉语:标准,基准,准绳,绳墨,准,法,谱,极,准谱儿,定准,规则,规范,条件,原则,尺度,尺码,准星,格木,参考系,标准化,规格,格,口径,尺度俄语近义词汉语:准确,准,精确,确切,标准,规范,纯正,纯粹,可靠,靠得住,毫厘不爽,准确无误,准儿,高精度俄语近义词汉语:正规,正式,正经,正统,规范,标准,专业,科班,明媒正娶,正儿八经,正规化,业内俄语","近义词汉语:标准,基准,准绳,绳墨,准,法,谱,极,准谱儿,定准,规则,规范,条件,原则,尺度,尺码,准星,格木,参考系,标准化,规格,格,口径,尺度俄语:стандарт,норма,критерий,стандартный,нормативный葡萄牙语:padrão,normativo,norma,critério德语:maßgebend,Maßstab,Norm,Regel,Standard西班牙语:criterio,norma,patrón英语:criteria,level,mark,measure,normal,par,rule,standard,criterion2准确近义词汉语:准确,准,精确,确切,标准,规范,纯正,纯粹,可靠,靠得住,毫厘不爽,准确无误,准儿,高精度俄语:точный,правильный德语:Präzision,genau,korrekt,präzise,zutreffend,zuverlässig葡萄牙语:exato,exatidão法语:exact,précis西班牙语:certeza,certidumbre,fidelidad,formalidad,tino反义词汉语:约略,谬误,错误,偏差,不确3正规近义词汉语:正规,正式,正经,正统,规范,标准,专业,科班,明媒正娶,正儿八经,正规化,业内俄语:нормальный,регулярный德语:regelrecht,regulär英语:canonicity,regularity,regulation查看关于标准的反义词>>("
"近义词汉语:益处,好处,利益,裨益,补益,便宜,益,补,裨,利,润,实益,功利,进益,义利法语","近义词汉语:益处,好处,利益,裨益,补益,便宜,益,补,裨,利,润,实益,功利,进益,义利法语:profit,avantage英语:benefit,profit西班牙语:beneficio,interés,pro3润泽近义词汉语:润泽,滋润,润滑,润("
"近义词汉语:开水,滚水,白开水,白水,热水,汤,沸水,凉白开","近义词汉语:开水,滚水,白开水,白水,热水,汤,沸水,凉白开反义词汉语:冷水,生水查看关于白水的反义词>>("
"近义词汉语:太阳,阳,日,日头,红日俄语近义词汉语:日光,阳光,太阳,晖,昱,烨,熹德语","近义词汉语:太阳,阳,日,日头,红日俄语:солнце,солнечный德语:Sonne,Sonnenschein葡萄牙语:sol,solar英语:fireball,Phoebus,sun,sunlight,sunshine,theeyeofday,thegodofday,thestarofday反义词汉语:太阴2日光近义词汉语:日光,阳光,太阳,晖,昱,烨,熹德语:Sonnenlicht,solar英语:daylight,light,sun,sunlight查看关于太阳的反义词>>("
"近义词汉语:离合器,靠背轮","近义词汉语:离合器,靠背轮("
"近义词汉语:气管,呼吸道,上呼吸道,支气管葡萄牙语","近义词汉语:气管,呼吸道,上呼吸道,支气管葡萄牙语:tracheal,traquéia英语:trachea,weasand,windpipe西班牙语:garganchón,tráquea,traquearteria德语:Drossel,Luftröhre("
"近义词汉语:银元,银洋,洋,洋钱,光洋,现洋,现大洋,大洋,花边,袁头,大头,鹰洋,金元,银圆,元宝","近义词汉语:银元,银洋,洋,洋钱,光洋,现洋,现大洋,大洋,花边,袁头,大头,鹰洋,金元,银圆,元宝("
"近义词汉语:蓝,蔚蓝,天蓝,碧蓝,宝蓝,蓝盈盈,蓝晶晶,蔚德语","近义词汉语:蓝,蔚蓝,天蓝,碧蓝,宝蓝,蓝盈盈,蓝晶晶,蔚德语:Kohlrabi,blau英语:anil,blue,blueness2蓼蓝近义词汉语:蓼蓝,蓝("
"近义词汉语:落花生,花生,长生果,仁果,水花生英语","近义词汉语:落花生,花生,长生果,仁果,水花生英语:goober,groundnut,monkey-nut("
"近义词汉语:医学,医术,医道汉语:医学,医英语","近义词汉语:医学,医术,医道汉语:医学,医英语:medicine,physic葡萄牙语:medicina,médico("
"近义词汉语:像,形象,影像俄语","近义词汉语:像,形象,影像俄语:портрет,картина,статуя葡萄牙语:imagens,imagem法语:image,statue,photo西班牙语:cual,figura,imagen,parecer,semejar英语:as,image,picture,portrait,simulacrum("
"近义词汉语:诊断,确诊葡萄牙语","近义词汉语:诊断,确诊葡萄牙语:diagnóstico,diagnose,diagnosticar西班牙语:diagnosis,diagnosticar德语:Diagnose,Feststellung,Prognose,diagnostizieren,diagnostisch("
"近义词汉语:相关,相干,有关,连带,连锁,系,休戚相关,息息相关,骨肉相连,呼吸相通,血脉相通,唇齿相依,辅车相依,痛痒相关,诖,不无关系葡萄牙语","近义词汉语:相关,相干,有关,连带,连锁,系,休戚相关,息息相关,骨肉相连,呼吸相通,血脉相通,唇齿相依,辅车相依,痛痒相关,诖,不无关系葡萄牙语:relevante,pertinente,pertinência,pertencer德语:inWechselbeziehungstehend,Reziprozität,koordinieren,anteilig,bezüglich,einschlägig,gemäß,koordiniert,korrelat,relativ英语:correlation,mutuality法语:avoirrapportà("
"近义词汉语:岩石,岩,岩层俄语","近义词汉语:岩石,岩,岩层俄语:горнаяпорода,камень,петрографический葡萄牙语:rochoso,rocha西班牙语:peña,peñasco,roca("
"近义词汉语:表皮,浮皮,面皮,外皮德语","近义词汉语:表皮,浮皮,面皮,外皮德语:Epidermis,häutig葡萄牙语:cuticular,cutícula英语:cuticle,cutis,epidermis,scarfskin("
"近义词汉语:酸,酸软,酸溜溜汉语:酸,酸溜溜,酸度,发酸俄语","近义词汉语:酸,酸软,酸溜溜汉语:酸,酸溜溜,酸度,发酸俄语:кислый,прокиснуть德语:Säure,Säuren,sauer葡萄牙语:azedo,ácido法语:acide,aigre,affligé,endolori英语:acerbity,ache,acid,grieved,pedantic,sour,tartness西班牙语:acedía,ácido("
"近义词汉语:辣,辛,辛辣,麻辣,辣丝丝,辣乎乎,辣味俄语","近义词汉语:辣,辛,辛辣,麻辣,辣丝丝,辣乎乎,辣味俄语:жестокий,беспощадный德语:scharf,scharferGeschmack法语:piquant,cruel英语:hot,peppery,ruthless,sting("
"近义词汉语:摄影,留影,拍摄,拍照,照相,照,摄,拍,摄像,摄录,录像法语","近义词汉语:摄影,留影,拍摄,拍照,照相,照,摄,拍,摄像,摄录,录像法语:prendreunephoto,photographier德语:Fotografie,Vorausschau,fotografieren,fotografisch,photographisch葡萄牙语:fotografia,fotográfico英语:film,photograph,photography,shoot,shootafilm,takeaphotograph("
